H:\Self-driving car data\IMG\center_2019_04_12_00_41_36_695.jpg,H:\Self-driving car data\IMG\left_2019_04_12_00_41_36_695.jpg,H:\Self-driving car data\IMG\right_2019_04_12_00_41_36_695.jpg,0,0,0,2.810698
H:\Self-driving car data\IMG\center_2019_04_12_00_41_36_807.jpg,H:\Self-driving car data\IMG\left_2019_04_12_00_41_36_807.jpg,H:\Self-driving car data\IMG\right_2019_04_12_00_41_36_807.jpg,0,0,0,2.782497
H:\Self-driving car data\IMG\center_2019_04_12_00_41_36_915.jpg,H:\Self-driving car data\IMG\left_2019_04_12_00_41_36_915.jpg,H:\Self-driving car data\IMG\right_2019_04_12_00_41_36_915.jpg,0,0,0,2.749029
H:\Self-driving car data\IMG\center_2019_04_12_00_41_37_024.jpg,H:\Self-driving car data\IMG\left_2019_04_12_00_41_37_024.jpg,H:\Self-driving car data\IMG\right_2019_04_12_00_41_37_024.jpg,0,0,0,2.721447
H:\Self-driving car data\IMG\center_2019_04_12_00_41_37_124.jpg,H:\Self-driving car data\IMG\left_2019_04_12_00_41_37_124.jpg,H:\Self-driving car data\IMG\right_2019_04_12_00_41_37_124.jpg,0,0.2995515,0,2.961456
H:\Self-driving car data\IMG\center_2019_04_12_00_41_37_220.jpg,H:\Self-driving car data\IMG\left_2019_04_12_00_41_37_220.jpg,H:\Self-driving car data\IMG\right_2019_04_12_00_41_37_220.jpg,0,0.5895813,0,3.579783
H:\Self-driving car data\IMG\center_2019_04_12_00_41_37_319.jpg,H:\Self-driving car data\IMG\left_2019_04_12_00_41_37_319.jpg,H:\Self-driving car data\IMG\right_2019_04_12_00_41_37_319.jpg,0,0.8863746,0,4.528228
H:\Self-driving car data\IMG\center_2019_04_12_00_41_37_424.jpg,H:\Self-driving car data\IMG\left_2019_04_12_00_41_37_424.jpg,H:\Self-driving car data\IMG\right_2019_04_12_00_41_37_424.jpg,0,1,0,5.683293
H:\Self-driving car data\IMG\center_2019_04_12_00_41_37_526.jpg,H:\Self-driving car data\IMG\left_2019_04_12_00_41_37_526.jpg,H:\Self-driving car data\IMG\right_2019_04_12_00_41_37_526.jpg,0,1,0,6.832748
H:\Self-driving car data\IMG\center_2019_04_12_00_41_37_620.jpg,H:\Self-driving car data\IMG\left_2019_04_12_00_41_37_620.jpg,H:\Self-driving car data\IMG\right_2019_04_12_00_41_37_620.jpg,0,1,0,7.971046
H:\Self-driving car data\IMG\center_2019_04_12_00_41_37_735.jpg,H:\Self-driving car data\IMG\left_2019_04_12_00_41_37_735.jpg,H:\Self-driving car data\IMG\right_2019_04_12_00_41_37_735.jpg,0,1,0,9.322403
H:\Self-driving car data\IMG\center_2019_04_12_00_41_37_828.jpg,H:\Self-driving car data\IMG\left_2019_04_12_00_41_37_828.jpg,H:\Self-driving car data\IMG\right_2019_04_12_00_41_37_828.jpg,0,1,0,10.21448
H:\Self-driving car data\IMG\center_2019_04_12_00_41_37_924.jpg,H:\Self-driving car data\IMG\left_2019_04_12_00_41_37_924.jpg,H:\Self-driving car data\IMG\right_2019_04_12_00_41_37_924.jpg,0,1,0,11.31968
H:\Self-driving car data\IMG\center_2019_04_12_00_41_38_024.jpg,H:\Self-driving car data\IMG\left_2019_04_12_00_41_38_024.jpg,H:\Self-driving car data\IMG\right_2019_04_12_00_41_38_024.jpg,0,1,0,12.45164
H:\Self-driving car data\IMG\center_2019_04_12_00_41_38_119.jpg,H:\Self-driving car data\IMG\left_2019_04_12_00_41_38_119.jpg,H:\Self-driving car data\IMG\right_2019_04_12_00_41_38_119.jpg,0,1,0,13.45117
